context,word,kind,important,skip,notes
emotions and personality,cynical,common,1,"",""
emotions and personality,desperate,common,1,"",""
emotions and personality,eccentric,common,1,"",""
emotions and personality,furious,common,1,"",""
emotions and personality,gullible,common,1,"",""
emotions and personality,jealous,common,1,"",""
emotions and personality,paranoid,common,1,"",""
emotions and personality,nostalgic,common,1,"",""
emotions and personality,skeptical,common,1,"",""
emotions and personality,arrogant,common,1,"",""
emotions and personality,ecstatic,common,1,"",""
performing arts,acoustic,common,1,"",""
performing arts,ballad,common,1,"",""
performing arts,encore,common,1,"",""
performing arts,graffiti,common,1,"",""
performing arts,karaoke,common,1,"",""
performing arts,lullaby,common,1,"",""
performing arts,symphony,common,1,"",""
common science knowledge,algorithm,common,1,"",""
common science knowledge,satellite,common,1,"",""
common science knowledge,telescope,common,1,"",""
common science knowledge,molecule,common,1,"",""
common science knowledge,oxygen,common,1,"",""
common science knowledge,gravity,common,1,"",""
common science knowledge,bacteria,common,1,"",""
crime and law,alibi,common,1,"",""
crime and law,contraband,common,1,"",""
crime and law,extortion,common,1,"",""
crime and law,felony,common,1,"",""
crime and law,arson,common,1,"",""
crime and law,blackmail,common,1,"",""
crime and law,treason,common,1,"",""
medical terms everyone knows,allergic,common,1,"",""
medical terms everyone knows,bruise,common,1,"",""
medical terms everyone knows,bruised,common,1,"",""
medical terms everyone knows,bruiser,common,1,"",""
medical terms everyone knows,bruisers,common_ish,1,"",""
medical terms everyone knows,bruising,common,1,"",""
medical terms everyone knows,unbruised,uncommon,1,"",""
medical terms everyone knows,dizzy,common,1,"",""
medical terms everyone knows,insomnia,common,1,"",""
medical terms everyone knows,migraine,common,1,"",""
medical terms everyone knows,concussion,common,1,"",""
medical terms everyone knows,pneumonia,common,1,"",""
sophisticated but widely known,absurd,common,1,"",""
sophisticated but widely known,clandestine,common,1,"",""
sophisticated but widely known,eloquent,common,1,"",""
sophisticated but widely known,flamboyant,common,1,"",""
sophisticated but widely known,grotesque,common,1,"",""
sophisticated but widely known,hypocrite,common,1,"",""
sophisticated but widely known,infamous,common,1,"",""
sophisticated but widely known,macabre,common,1,"",""
sophisticated but widely known,mediocre,common,1,"",""
sophisticated but widely known,outrageous,common,1,"",""
sophisticated but widely known,preposterous,common,1,"",""
sophisticated but widely known,sinister,common,1,"",""
sophisticated but widely known,treacherous,common,1,"",""
profanity and insults,damn,common,1,"",""
profanity and insults,crap,common,1,"",""
profanity and insults,moron,common,1,"",""
profanity and insults,idiot,common,1,"",""
profanity and insults,bastard,common,1,"",""
body parts and household objects,elbow,common,1,"",""
body parts and household objects,armpit,common,1,"",""
body parts and household objects,nostril,common,1,"",""
body parts and household objects,eyebrow,common,1,"",""
body parts and household objects,doorknob,common,1,"",""
body parts and household objects,dishwasher,common,1,"",""
body parts and household objects,microwave,common,1,"",""
body parts and household objects,toothbrush,common,1,"",""
weather and natural disasters,avalanche,common,1,"",""
weather and natural disasters,blizzard,common,1,"",""
weather and natural disasters,drought,common,1,"",""
weather and natural disasters,tornado,common,1,"",""
weather and natural disasters,tsunami,common,1,"",""
weather and natural disasters,hurricane,common,1,"",""
sounds and textures,screech,common,1,"",""
sounds and textures,rumble,common,1,"",""
sounds and textures,sizzle,common,1,"",""
sounds and textures,crackle,common,1,"",""
sounds and textures,velvet,common,1,"",""
sounds and textures,velvety,common,1,"",""
sounds and textures,grit,common,1,"",""
sounds and textures,gritty,common,1,"",""
sounds and textures,slime,common,1,"",""
sounds and textures,slimy,common,1,"",""
sounds and textures,crunch,common,1,"",""
sounds and textures,crunchy,common,1,"",""
french loanwords naturalized in english,rendezvous,common,1,"",""
french loanwords naturalized in english,chauffeur,common,1,"",""
french loanwords naturalized in english,silhouette,common,1,"",""
french loanwords naturalized in english,sabotage,common,1,"",""
french loanwords naturalized in english,camouflage,common,1,"",""
japanese loanwords naturalized in english,origami,common,1,"",""
japanese loanwords naturalized in english,samurai,common,1,"",""
japanese loanwords naturalized in english,karate,common,1,"",""
japanese loanwords naturalized in english,judo,common,1,"",""
clothing and fabric,tux,common,1,"",""
clothing and fabric,tuxedo,common,1,"",""
clothing and fabric,flannel,common,1,"",""
clothing and fabric,corduroy,common,1,"",""
clothing and fabric,denim,common,1,"",""
words that sound rare but are widely known,cantankerous,common,1,"",""
words that sound rare but are widely known,curmudgeon,common,1,"",""
words that sound rare but are widely known,serendipity,common,1,"",""
words that sound rare but are widely known,brouhaha,common,1,"",""
words that sound rare but are widely known,kerfuffle,common,1,1,""
words that sound rare but are widely known,hullabaloo,common,1,"",""
words that sound rare but are widely known,bamboozle,common,1,"",""
words that sound rare but are widely known,bamboozled,common,1,"",""
words that ought to be plural but not singular,shenanigans,common,1,"",""
words that ought to be plural but not singular,shenanigan,rare,1,"",""
words that ought to be plural but not singular,cahoot,forbidden,1,"",""
words that ought to be plural but not singular,cahoots,common,1,"",""
words that ought to be plural but not singular,alice,common_ish,1,"",""
words that ought to be plural but not singular,alices,forbidden,1,"",""
common words seldom used in writing,sycophant,common,1,"",""
common words seldom used in writing,obsequious,common,1,"",""
common words seldom used in writing,nefarious,common,1,"",""
common words seldom used in writing,insidious,common,1,"",""
common words seldom used in writing,malarkey,common,1,"",""
common words seldom used in writing,tomfoolery,common,1,"",""
common words seldom used in writing,skulduggery,common,1,1,""
common words seldom used in writing,flabbergasted,common,1,"",""
modern words (post-2009),blog,common,1,"",""
modern words (post-2009),blogs,common,1,"",""
modern words (post-2009),blogged,common,1,"",""
modern words (post-2009),blogger,common,1,"",""
modern words (post-2009),bloggers,common,1,"",""
modern words (post-2009),blogging,common,1,"",""
modern words (post-2009),vlog,common_ish,1,"",""
modern words (post-2009),vlogs,common_ish,1,"",""
modern words (post-2009),vlogged,common_ish,1,"",""
modern words (post-2009),vlogging,common_ish,1,"",""
modern words (post-2009),vlogger,common_ish,1,1,""
modern words (post-2009),vloggers,common_ish,1,1,""
modern words (post-2009),selfie,common,1,"",""
modern words (post-2009),hashtag,common,1,"",""
modern words (post-2009),emoji,common,1,"",""
modern words (post-2009),meme,common,1,"",""
modern words (post-2009),malware,common,1,"",""
modern words (post-2009),trans,common,1,"",""
modern words (post-2009),bi,common,1,"",""
modern words (post-2009),poly,common,1,"",""
modern words (post-2009),polyam,common,1,"",""
modern words (post-2009),polyamory,common,1,"",""
modern words (post-2009),polyamorous,common,1,"",""
modern words (post-2009),throuple,common,1,1,""
modern words (post-2009),throuples,common,1,1,""
modern words (post-2009),thruple,forbidden,1,"",""
modern words (post-2009),thrupple,forbidden,1,"",""
modern words (post-2009),yeet,common,1,"",""
modern words (post-2009),yeets,common,1,"",""
modern words (post-2009),yeeted,common,1,"",""
modern words (post-2009),yeeting,common,1,"",""
modern words (post-2009),yote,uncommon,1,"",past tense of 'yeet'
modern words (post-2009),twerk,common,1,"",""
modern words (post-2009),twerks,common,1,"",""
modern words (post-2009),twerked,common,1,"",""
modern words (post-2009),twerking,common,1,"",""
modern words (post-2009),urled,forbidden,1,"",""
modern words (post-2009),urling,forbidden,1,"",""
modern words (post-2009),twink,common,1,"",""
modern words (post-2009),doxxed,common,1,"",""
modern words (post-2009),doxxing,common,1,"",""
surnames in cmudict,attaway,rare,1,"",""
surnames in cmudict,beaupre,rare,1,"",""
surnames in cmudict,bergstrom,rare,1,"",""
surnames in cmudict,carstens,rare,1,"",""
surnames in cmudict,colborn,rare,1,"",""
surnames in cmudict,drinkwater,rare,1,"",""
surnames in cmudict,gruenhagen,forbidden,1,"",""
surnames in cmudict,hanauer,forbidden,1,"",""
surnames in cmudict,kirkbride,forbidden,1,"",""
surnames in cmudict,kreimer,rare,1,"",""
surnames in cmudict,lamarque,rare,1,"",""
surnames in cmudict,massingill,rare,1,"",""
surnames in cmudict,nordlund,rare,1,"",""
surnames in cmudict,pfleger,forbidden,1,"",""
surnames in cmudict,schnabel,forbidden,1,"",""
surnames in cmudict,stankiewicz,forbidden,1,"",""
surnames in cmudict,tewksbury,rare,1,"",""
surnames in cmudict,vandermeer,rare,1,"",""
surnames in cmudict,mcnaughton,forbidden,1,"",""
surnames in cmudict,brumfield,forbidden,1,"",""
more surnames,abernethy,rare,1,"",""
more surnames,baumgardner,rare,1,"",""
more surnames,crenwelge,forbidden,1,"",""
more surnames,dettweiler,forbidden,1,"",""
more surnames,eckstrom,rare,1,"",""
more surnames,fitzgibbons,rare,1,"",""
more surnames,grzelak,forbidden,1,"",""
more surnames,humpherys,forbidden,1,"",""
more surnames,iannaccone,forbidden,1,"",""
more surnames,kriegshauser,forbidden,1,"",""
more surnames,muehlberger,forbidden,1,"",""
more surnames,oesterling,forbidden,1,"",""
more surnames,przybylski,forbidden,1,"",""
more surnames,rheinhardt,forbidden,1,"",""
more surnames,thistlethwaite,forbidden,1,"",""
obscure place names,djibouti,uncommon,1,"",""
obscure place names,kinshasa,rare,1,"",""
obscure place names,liechtenstein,rare,1,"",""
obscure place names,suriname,rare,1,"",""
obscure place names,vladivostok,rare,1,"",""
obscure place names,mogadishu,uncommon,1,"",""
obscure place names,ouagadougou,rare,1,"",""
obscure place names,turkmenistan,rare,1,"",""
obscure place names,kyrgyzstan,rare,1,"",""
obscure place names,tajikistan,rare,1,"",""
obscure english words,anfractuous,rare,1,"",""
obscure english words,borborygmus,rare,1,"",""
obscure english words,clerihew,rare,1,"",""
obscure english words,colophon,rare,1,"",""
obscure english words,defenestrate,common,1,"",""
obscure english words,escritoire,rare,1,"",""
obscure english words,fylfot,rare,1,"",""
obscure english words,gallimaufry,rare,1,"",""
obscure english words,gegenschein,rare,1,"",""
obscure english words,haruspex,rare,1,"",""
obscure english words,inspissate,rare,1,"",""
obscure english words,jeremiad,rare,1,"",""
obscure english words,louche,rare,1,"",""
obscure english words,maffick,rare,1,"",""
obscure english words,narthex,rare,1,"",""
obscure english words,oppugn,rare,1,"",""
obscure english words,quahog,rare,1,"",""
obscure english words,rebarbative,rare,1,"",""
obscure english words,tatterdemalion,rare,1,"",""
obscure english words,widdershins,rare,1,"",""
literary and rhetorical terms,palimpsest,common,1,1,""
literary and rhetorical terms,quincunx,common,1,"",""
literary and rhetorical terms,tmesis,rare,1,"",""
literary and rhetorical terms,hendiadys,rare,1,"",""
literary and rhetorical terms,litotes,rare,1,"",""
literary and rhetorical terms,zeugma,rare,1,"",""
literary and rhetorical terms,chiasmus,rare,1,"",""
academic and scientific jargon,anisotropic,rare,1,"",""
academic and scientific jargon,stoichiometry,rare,1,"",""
academic and scientific jargon,titration,rare,1,"",""
academic and scientific jargon,eschaton,uncommon,1,"",""
academic and scientific jargon,eschatology,rare,1,"",""
academic and scientific jargon,homiletics,rare,1,"",""
academic and scientific jargon,hagiography,rare,1,"",""
academic and scientific jargon,isomorphic,uncommon,1,"",""
academic and scientific jargon,isomorphism,uncommon,1,"",""
academic and scientific jargon,hermeneutics,rare,1,"",""
academic and scientific jargon,eigenvalue,rare,1,"",""
academic and scientific jargon,chromatography,rare_ish,1,1,""
academic and scientific jargon,electrophoresis,rare,1,1,""
academic and scientific jargon,spectrometer,rare_ish,1,1,""
academic and scientific jargon,reagent,common,1,"",""
academic and scientific jargon,adiabatic,rare,1,"",""
obscure animals,axolotl,common,1,"",""
obscure animals,cassowary,uncommon,1,"",""
obscure animals,dugong,uncommon,1,"",""
obscure animals,echidna,common_ish,1,"",""
obscure animals,gharial,rare,1,"",""
obscure animals,pangolin,uncommon,1,"",""
obscure animals,tapir,common,1,"",""
obscure animals,numbat,rare,1,"",""
archaic vocabulary,forsooth,common_ish,1,1,""
archaic vocabulary,hauberk,uncommon,1,"",""
archaic vocabulary,varlet,rare,1,"",""
archaic vocabulary,seneschal,uncommon,1,"",""
archaic vocabulary,pottage,rare,1,"",""
archaic vocabulary,prithee,uncommon,1,"",""
archaic vocabulary,diapason,rare,1,"",""
archaic vocabulary,cynosure,rare,1,"",""
archaic vocabulary,panegyric,uncommon,1,"",""
archaic vocabulary,synecdoche,common_ish,1,1,""
archaic vocabulary,schenectady,rare,1,"",""
astronomy,umbra,uncommon,1,"",""
astronomy,penumbra,uncommon,1,"",""
astronomy,parallax,uncommon,1,"",""
astronomy,aphelion,rare,1,"",""
astronomy,perihelion,rare,1,"",""
miscellaneous rare,petrichor,uncommon,1,"",""
miscellaneous rare,spoonerism,rare_ish,1,"",""
miscellaneous rare,malapropism,rare_ish,1,"",""
miscellaneous rare,kafkaesque,rare_ish,1,"",""
miscellaneous rare,cupola,rare_ish,1,"",""
miscellaneous rare,balustrade,rare_ish,1,"",""
miscellaneous rare,evanescent,rare_ish,1,"",""
miscellaneous rare,velleity,rare,1,"",""
miscellaneous rare,zugzwang,rare_ish,1,"",""
miscellaneous rare,ephemeron,rare,1,"",""
rare (original),alam,rare,1,"",""
rare (original),bahm,rare,1,"",""
rare (original),beacham,rare,1,"",""
rare (original),bram,rare,1,"",""
rare (original),burcham,rare,1,"",""
rare (original),camm,rare,1,"",""
rare (original),cham,rare,1,"",""
rare (original),dahm,rare,1,"",""
rare (original),damm,rare,1,"",""
rare (original),dirlam,rare,1,"",""
rare (original),flam,rare,1,"",""
rare (original),flamm,rare,1,"",""
rare (original),frahm,rare,1,"",""
rare (original),gahm,rare,1,"",""
rare (original),gamm,rare,1,"",""
rare (original),graeme,rare,1,"",""
rare (original),gramm,rare,1,"",""
rare (original),hahm,rare,1,"",""
rare (original),hamm,rare,1,"",""
rare (original),hamme,rare,1,"",""
rare (original),kam,rare,1,"",""
rare (original),kamm,rare,1,"",""
rare (original),klamm,rare,1,"",""
rare (original),kram,rare,1,"",""
rare (original),kramm,rare,1,"",""
rare (original),kramme,rare,1,"",""
rare (original),kvam,rare,1,"",""
rare (original),kvamme,rare,1,"",""
rare (original),laflam,rare,1,"",""
rare (original),laflamme,rare,1,"",""
rare (original),lahm,rare,1,"",""
rare (original),lambe,rare,1,"",""
rare (original),lamm,rare,1,"",""
rare (original),lamme,rare,1,"",""
rare (original),mcclam,rare,1,"",""
rare (original),mcham,rare,1,"",""
rare (original),mclamb,rare,1,"",""
rare (original),nahm,rare,1,"",""
rare (original),nam,rare_ish,1,"",""
rare (original),pam,uncommon,1,"",""
rare (original),panam,rare,1,"",""
rare (original),pham,rare,1,"",""
rare (original),plam,rare,1,"",""
rare (original),quamme,rare,1,"",""
rare (original),rahm,rare,1,"",""
rare (original),ramm,rare,1,"",""
rare (original),sahm,rare,1,"",""
rare (original),schram,rare,1,"",""
rare (original),schramm,rare,1,"",""
rare (original),stam,rare,1,"",""
rare (original),stamm,rare,1,"",""
rare (original),stram,rare,1,"",""
rare (original),t-lam,rare,1,"",""
rare (original),tham,rare,1,"",""
rare (original),vandam,rare,1,"",""
rare (original),vandamme,rare,1,"",""
rare (original),zahm,rare,1,"",""
rare (original),sadat,rare,1,"",""
rare (original),spratt,rare,1,"",""
rare (original),arnatt,rare,1,"",""
rare (original),balyeat,rare,1,"",""
rare (original),batte,rare,1,"",""
rare (original),bhatt,rare,1,"",""
rare (original),biernat,rare,1,"",""
rare (original),blatt,rare,1,"",""
rare (original),bratt,rare,1,"",""
rare (original),catt,rare,1,"",""
rare (original),delatte,rare,1,"",""
rare (original),deslatte,rare,1,"",""
rare (original),elat,rare,1,"",""
rare (original),flatt,rare,1,"",""
rare (original),glatt,rare,1,"",""
rare (original),hatt,rare,1,"",""
rare (original),hnat,rare,1,"",""
rare (original),inmarsat,rare,1,"",""
rare (original),jagt,rare,1,"",""
rare (original),katt,rare,1,"",""
rare (original),klatt,rare,1,"",""
rare (original),krat,rare,1,"",""
rare (original),kratt,rare,1,"",""
rare (original),labatt,rare,1,"",""
rare (original),landsat,rare,1,"",""
rare (original),mcnatt,rare,1,"",""
rare (original),patt,rare,1,"",""
rare (original),platt,rare,1,"",""
rare (original),pratte,rare,1,"",""
rare (original),prevatt,rare,1,"",""
rare (original),prevatte,rare,1,"",""
rare (original),ratte,rare,1,"",""
rare (original),sarratt,rare,1,"",""
rare (original),schadt,rare,1,"",""
rare (original),shatt,rare,1,"",""
rare (original),slaght,rare,1,"",""
rare (original),tvsat,rare,1,"",""
rare (original),junco,rare,1,"",""
rare (original),stylites,rare,1,"",""
rare (original),devine,rare,1,"",""
rare (original),pote,rare,1,"",""
rare (original),fifer,rare,1,"",""
rare word forms,rebruised,rare,1,"",""
rare word forms,rebruiser,rare,1,"",""
rare word forms,rebruisers,rare,1,"",""
rare word forms,rebruising,rare,1,"",""
rare word forms,bruisedness,rare,1,"",""
rare word forms,bruisednesses,rare,1,"",""
rare word forms,bruisingly,rare,1,"",""
rare word forms,unbruise,rare,1,"",""
rare word forms,unbruising,rare,1,"",""
rare word forms,unrebruised,forbidden,1,"",""
rare word forms,unrebruising,forbidden,1,"",""
rare word forms,unrebruisedness,forbidden,1,"",""
rare word forms,unrebruisednesses,forbidden,1,"",""
rare word forms,unrebruisingly,forbidden,1,"",""
rare word forms,unrebruisingness,forbidden,1,"",""
rare word forms,unrebruisingnesses,forbidden,1,"",""
rare word forms,unrebruisingly,forbidden,1,"",""
rare word forms,rerebruised,forbidden,1,"",""
inflections,sky,common,1,"",""
inflections,skies,common,1,"",""
inflections,skys,rare,1,"",""
inflections,skying,rare,1,1,""
inflections,goose,common,1,"",""
inflections,geese,common,1,"",""
inflections,gooses,common,1,1,""
inflections,mouse,common,1,"",""
inflections,mice,common,1,"",""
inflections,mouses,uncommon,1,"",""
inflections,mousing,uncommon,1,"",""
inflections,moused,uncommon,1,"",""
inflections,mousingly,rare,1,"",""
inflections,mousiness,common_ish,1,1,""
inflections,mousinesses,rare,1,"",""
inflections,mousinessly,rare,1,"",""
inflections,mouser,common_ish,1,"",""
inflections,mousers,common_ish,1,"",""
inflections,fox,common,1,"",""
inflections,foxes,common,1,"",""
inflections,foxs,forbidden,1,"",""
inflections,foxed,rare,1,"",""
inflections,foxing,rare,1,"",""
inflections,foxly,rare,1,"",""
inflections,foxy,common,1,"",""
inflections,foxyness,rare,1,"",""
inflections,foxily,common_ish,1,1,""
inflections,foxyly,rare,1,"",""
inflections,foxiness,common_ish,1,1,""
inflections,foxinesses,rare,1,"",""
inflections,foxier,common,1,"",""
inflections,foxiest,common,1,"",""
inflections,foxyer,forbidden,1,"",""
inflections,foxyest,forbidden,1,"",""
inflections,foxynesses,forbidden,1,"",""
inflections,crotch,common,1,"",""
inflections,crotches,common,1,"",""
inflections,crotchs,forbidden,1,"",""
inflections,crotched,rare,1,"",""
inflections,crotching,rare,1,"",""
inflections,tulip,common,1,"",""
inflections,tulips,common,1,"",""
inflections,tulipes,forbidden,1,"",""
inflections,tulipped,rare,1,"",""
inflections,tulipping,rare,1,"",""
inflections,free,common,1,"",""
inflections,frees,common,1,"",""
inflections,freed,common,1,"",""
inflections,freer,common,1,"",""
inflections,freest,common,1,"",""
inflections,freeing,common,1,"",""
inflections,ghost,common,1,"",""
inflections,ghosts,common,1,"",""
inflections,ghosted,common,1,"",""
inflections,ghosting,common,1,"",""
inflections,ghostly,common,1,"",""
inflections,campal,forbidden,1,"",spurious *al* from *campus* if *us→*al-style rules ever return
inflections,mochaed,forbidden,1,"",""
inflections,mochaer,forbidden,1,"",""
inflections,mochaest,forbidden,1,"",""
inflections,mochaing,forbidden,1,"",""
inflections,white,common,1,"",""
inflections,whiter,common,1,"",""
inflections,whitest,common,1,"",""
inflections,magenta,common,1,"",""
inflections,magentaed,forbidden,1,"",""
inflections,magentaer,forbidden,1,"",""
inflections,magentaest,forbidden,1,"",""
inflections,magentad,forbidden,1,"",""
inflections,magentar,forbidden,1,"",""
inflections,magentast,forbidden,1,"",""
inflections,recherche,common,1,"",""
inflections,rechercher,rare,1,"",""
inflections,rechercheer,forbidden,1,"",""
inflections,recherched,forbidden,1,"",""
inflections,rechercheed,forbidden,1,"",""
inflections,recherchest,rare,1,"",""
inflections,rechercheest,rare,1,"",""
inflections,khaki,common,1,"",""
inflections,khakis,common,1,"",""
inflections,khakied,forbidden,1,"",""
inflections,khakier,rare,1,"",""
inflections,khakiest,rare,1,"",""
inflections,jumbo,common,1,"",""
inflections,jumboed,forbidden,1,"",""
inflections,jumboer,rare,1,"",""
inflections,jumboest,rare,1,"",""
inflections,taboo,common,1,"",""
inflections,taboos,common,1,"",""
inflections,tabood,rare,1,"",""
inflections,tabooed,forbidden,1,"",""
