word1,word2,oughta be related?,notes
dark,melancholic,related,prereq: food+dark/metabolic+melancholic
dark,murky,related,prereq: food+dark/turkey+murky
dark,unseen,related,prereq: food+dark/cuisine+unseen
death,bled,related,examples from the documentation
death,dead,related,examples from the documentation
death,dread,related,examples from the documentation
deceit,evil,related,prereq: food+evil/wheat+deceit
declare,invoke,related,prereq: invoke/declare+prayer
dessert,food,related,prereq: food+evil/dessert+hurt
diamond,algebra,unrelated,
diamond,baseball,related,diamond (baseball field)
diamond,card,related,suit of cards
diamond,crime,related,diamond heist
diamond,medicine,unrelated,
diamond,penguin,unrelated,
diamond,pirate,related_ish,pirates and gems/treasure
diamond,ring,related,diamond ring
dinner,food,related,prereq: food+evil/dinner+sinner
dish,pasta,related,prereq: pasta/dish+fish
dog,poker,related,dogs playing poker
doom,evil,related,prereq: food+evil/mushroom+doom
enjoys,music,related,prereq: music/enjoys+noise
evil,greed,related,prereq: food+evil/feed+greed
evil,hurt,related,prereq: food+evil/dessert+hurt
evil,malign,related,prereq: food+evil/wine+malign
evil,maligns,related,prereq: food+evil/heinz+maligns
evil,mean,related,prereq: food+evil/cuisine+mean
evil,pain,related,prereq: food+evil/grain+pain
evil,rake,related_ish,because this sense of rake is archaic/obscure. prereq: food+evil/cake+rake
evil,rude,related,prereq: food+evil/chewed+rude
evil,satanic,related,prereq: food+evil/organic+satanic
evil,scum,related,prereq: food+evil/crumb+scum
evil,sinner,related,prereq: food+evil/dinner+sinner
evil,slavery,related,prereq: food+evil/savory+slavery
evil,traitor,related,prereq: food+evil/waiter+traitor
evil,undead,related,prereq: food+evil/bread+undead
evil,undeserved,related,prereq: food+evil/served+undeserved
evil,vice,related,prereq: food+evil/rice+vice
evil,voldemort,related,prereq: food+evil/sachertorte+voldemort
exciting,interactive,related,prereq: interactive+fiction/exciting+writing
fandango,music,related,prereq: music/fandango+tango
feast,movable,whatever,bulk random lemma base + common preferred + rime (seed 42)
feast,prayers,related,prereq: prayers/feast+priest
feasts,prayers,related,prereq: prayers/feasts+priests
feed,food,related,prereq: food+evil/feed+greed
fiction,writing,related,prereq: interactive+fiction/exciting+writing
fire,algebra,unrelated,
fire,escape,related,fire escape
fire,geometry,unrelated,
fire,hydrant,related,fire hydrant
fire,medicine,unrelated,
fire,penguin,unrelated,
fire,pirate,unrelated,
fire,smoke,related,clearly associated
fish,pasta,related,prereq: pasta/dish+fish
flan,food,related,prereq: gay+food/pan+flan
flans,food,related,prereq: gay+food/trans+flans
flood,water,related,prereq: water/blood+flood
flow,music,related,prereq: music/flow+bow
fluidity,water,related,
food,abrasion,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,abusive,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,admonition,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,adolescent,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,alleviate,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,alum,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,amity,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,amputation,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,anniversary,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,aqua,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,arabesque,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,archipelago,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,asparagus,related,bulk random lemma base + common preferred + rime (seed 42)
food,assassination,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,assign,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,astringent,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,atone,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,availability,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,bacon,related,off the top of my head
food,baffle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,bag,related,bulk random lemma base + common preferred + rime (seed 42)
food,bamboo,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,ban,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,barbecue,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,begotten,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,behoove,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,billionth,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,bleu,related,bleu cheese
food,bloomer,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,bons,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,borough,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,boss,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,brandy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,bread,related,off the top of my head
food,breakfast,related,off the top of my head
food,buddy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,buffet,related,bulk random lemma base + common preferred + rime (seed 42)
food,buffeting,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,bulk,related,off the top of my head
food,buoyant,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,burn,related,off the top of my head
food,burner,unrelated,off the top of my head
food,calories,related,off the top of my head
food,candid,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,canned,related,off the top of my head
food,cannoli,related,bulk random lemma base + common preferred + rime (seed 42)
food,canton,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,carbohydrates,related,off the top of my head
food,carbs,related,off the top of my head
food,chard,related,bulk random lemma base + common preferred + rime (seed 42)
food,chester,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,chewy,related,bulk random lemma base + common preferred + rime (seed 42)
food,chi,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,child,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,choosy,related,bulk random lemma base + common preferred + rime (seed 42)
food,clashing,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,cloying,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,cocaine,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,configure,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,construct,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,contamination,related,off the top of my head
food,conventional,related,off the top of my head
food,cook,related,off the top of my head
food,corn,related,off the top of my head
food,cornet,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,cosmetology,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,crook,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,cutout,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,dele,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,deli,related,off the top of my head
food,diet,related,off the top of my head
food,dilute,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,dinner,related,off the top of my head
food,disagreeable,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,disappoint,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,divergent,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,docile,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,domestically,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,dominating,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,dowdy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,drew,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,drink,related,off the top of my head
food,duplicity,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,durst,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,eclipse,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,editorial,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,egg,related,off the top of my head
food,electricity,unrelated,these cooccur because they're both basic(ish) needs but they oughn't be thematically related
food,emit,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,ensue,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,evade,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,expense,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,fancy,related,off the top of my head
food,farewell,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,farm,related,off the top of my head
food,fawn,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,femme,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fermentation,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,fiber,related,off the top of my head
food,fibrosis,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fiddle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fight,related,bulk random lemma base + common preferred + rime (seed 42)
food,fish,related,bulk random lemma base + common preferred + rime (seed 42)
food,fizzle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,folio,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,forage,related,bulk random lemma base + common preferred + rime (seed 42)
food,fork,related,off the top of my head
food,forum,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fourteenth,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fragile,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,fruit,related,off the top of my head
food,gadolinium,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,garden,related,bulk random lemma base + common preferred + rime (seed 42)
food,gather,related,bulk random lemma base + common preferred + rime (seed 42)
food,gestapo,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,gist,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,grain,related,off the top of my head
food,grain,related,prereq: food+evil/grain+pain
food,grocer,related,off the top of my head
food,grocery,related,off the top of my head
food,gruel,related,bulk random lemma base + common preferred + rime (seed 42)
food,hail,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,halfpenny,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,halibut,related,bulk random lemma base + common preferred + rime (seed 42)
food,hash,related,bulk random lemma base + common preferred + rime (seed 42)
food,hasten,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,healthy,related,off the top of my head
food,heat,related,bulk random lemma base + common preferred + rime (seed 42)
food,heinz,related,prereq: food+evil/heinz+maligns
food,hoist,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,hulk,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,hunt,related,bulk random lemma base + common preferred + rime (seed 42)
food,hydration,related,prereq: food+dark/hydration+illumination
food,hysteric,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,ice,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,icicle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,idiotic,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,impossibility,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,ingredient,related,off the top of my head
food,inspiration,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,irk,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,jazzy,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,jibe,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,jostle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,jurisprudence,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,kinky,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,knife,related,off the top of my head
food,lab,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,lassie,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,launcher,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,lawyer,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,leek,related,prereq: food+dark/leek+bleak
food,loony,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,lunch,related,off the top of my head
food,lynx,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,macaroni,related,bulk random lemma base + common preferred + rime (seed 42)
food,machinery,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,magnanimous,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,maul,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,meal,related,off the top of my head
food,meat,related,off the top of my head
food,metabolic,related,prereq: food+dark/metabolic+melancholic
food,microwave,related,bulk random lemma base + common preferred + rime (seed 42)
food,migration,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,movable,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,mushroom,related,prereq: food+evil/mushroom+doom
food,nautical,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,nondisclosure,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,nude,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,nudity,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,omnipotent,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,opportunity,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,organic,related,off the top of my head
food,organic,related,prereq: food+evil/organic+satanic
food,oven,related,off the top of my head
food,overplay,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,pan,related,off the top of my head
food,panic,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,pantry,related,off the top of my head
food,parallelogram,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,parasol,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,parody,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,pea,related,bulk random lemma base + common preferred + rime (seed 42)
food,peek,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,pending,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,perimeter,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,pickins,related,bulk random lemma base + common preferred + rime (seed 42)
food,pie,related,prereq: gay+food/bi+pie
food,pit,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,plate,related,off the top of my head
food,play,related,bulk random lemma base + common preferred + rime (seed 42)
food,poison,related,off the top of my head
food,poisoning,related,off the top of my head
food,portion,related,bulk random lemma base + common preferred + rime (seed 42)
food,portion,related,off the top of my head
food,prepare,related,off the top of my head
food,presentation,related,off the top of my head
food,prosecutorial,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,protrusion,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,pursuing,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,quesadilla,related,bulk random lemma base + common preferred + rime (seed 42)
food,quid,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,quince,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,rabbinical,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,radio,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,range,related,off the top of my head
food,ration,related,prereq: food+dark/ration+ashen
food,ravage,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,raw,related,off the top of my head
food,recriminate,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,redefinition,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,refiled,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,renew,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,repartee,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,restaurant,related,off the top of my head
food,rhino,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,rice,related,prereq: food+evil/rice+vice
food,sachertorte,related,prereq: food+evil/sachertorte+voldemort
food,sadistic,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,salve,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,sarcophagus,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,savory,related,prereq: food+evil/savory+slavery
food,sconce,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,scone,related,bulk random lemma base + common preferred + rime (seed 42)
food,scythe,whatever,off the top of my head
food,sea,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,seafood,related,bulk random lemma base + common preferred + rime (seed 42)
food,seder,related,prereq: food+evil/seder+invader
food,selectivity,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,sensationalizing,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,served,related,prereq: food+evil/served+undeserved
food,shoop,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,shortage,related,off the top of my head
food,skull,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,slat,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,slow,related,bulk random lemma base + common preferred + rime (seed 42)
food,smith,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,snack,related,prereq: food+dark/snack+black
food,sob,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,sooty,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,sop,related,bulk random lemma base + common preferred + rime (seed 42)
food,sorceress,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,spear,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,speck,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,spoon,related,off the top of my head
food,spreader,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,squall,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,squish,related,bulk random lemma base + common preferred + rime (seed 42)
food,starvation,related,prereq: food+evil/starvation+abomination
food,state,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,stock,related,bulk random lemma base + common preferred + rime (seed 42)
food,store,related,off the top of my head
food,stove,related,off the top of my head
food,subsistence,related,bulk random lemma base + common preferred + rime (seed 42)
food,sugar,related,off the top of my head
food,suiting,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,suppression,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,surplus,related,off the top of my head
food,surreptitious,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,sustainable,related,off the top of my head
food,swanky,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,switch,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,tandoori,related,bulk random lemma base + common preferred + rime (seed 42)
food,text,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,the,related,stop word
food,theme,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,thicc,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,tiara,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,titanic,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,trance,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,trash,related,bulk random lemma base + common preferred + rime (seed 42)
food,treacle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,tulle,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,turkey,related,off the top of my head
food,turkey,related,prereq: food+dark/turkey+murky
food,twenty,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,unartistic,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,unhealthy,related,off the top of my head
food,uninformed,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,unsteady,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,unwitting,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,uprising,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,utensil,related,off the top of my head
food,utopian,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,vegetables,related,off the top of my head
food,veggie,related,prereq: food+dark/veggie+edgy
food,vitamins,related,off the top of my head
food,vocal,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,waiter,related,prereq: food+evil/waiter+traitor
food,warm,related,bulk random lemma base + common preferred + rime (seed 42)
food,wary,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,wheat,related,off the top of my head
food,wheat,related,prereq: food+evil/wheat+deceit
food,whither,unrelated,bulk random lemma base + common preferred + rime (seed 42)
food,wine,related,prereq: food+evil/wine+malign
food,wing,whatever,bulk random lemma base + common preferred + rime (seed 42)
food,wings,related,bulk random lemma base + common preferred + rime (seed 42)
